Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales (in millions),EU_Sales (in millions),JP_Sales (in millions),Other_Sales (in millions),Global_Sales (in millions),Critic_Score,User_Score,Developer,Rating
Azurik: Rise of Perathia,XB,1970,Action,Microsoft Game Studios,0.18,0.05,0.0,0.01,0.24,52.0,85.0,Adrenium,T
B-Boy,PSP,1970,Misc,Sony Computer Entertainment,0.04,0.0,0.0,0.0,0.05,50.0,78.0,FreeStyleGames,T
Back to the Future: The Game,Wii,1970,Adventure,Telltale Games,0.05,0.0,0.0,0.0,0.05,66.0,41.0,Iron Galaxy Studios,T
Backyard Baseball,GC,1970,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13,70.0,94.0,Humongous Entertainment,E
Backyard Baseball '09,Wii,1970,Sports,Atari,0.04,0.0,0.0,0.0,0.04,37.0,78.0,Humongous Entertainment,E
Backyard Wrestling 2: There Goes the Neighborhood,PS2,1970,Fighting,Eidos Interactive,0.14,0.11,0.0,0.04,0.28,46.0,47.0,Paradox Development,M
Backyard Wrestling: Don't Try This at Home,PS2,1970,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51.0,78.0,Paradox Development,M
Backyard Wrestling: Don't Try This at Home,XB,1970,Fighting,Eidos Interactive,0.13,0.04,0.0,0.01,0.17,50.0,50.0,Paradox Development,M
Bad Boys: Miami Takedown,PS2,1970,Shooter,Empire Interactive,0.56,0.44,0.0,0.15,1.15,43.0,34.0,Blitz Games,M
Bad Boys: Miami Takedown,XB,1970,Shooter,Empire Interactive,0.14,0.04,0.0,0.01,0.18,35.0,59.0,Blitz Games,M
Bad Boys: Miami Takedown,GC,1970,Shooter,Empire Interactive,0.03,0.01,0.0,0.0,0.05,35.0,20.0,Blitz Games,M
Baja: Edge of Control,PS3,1970,Racing,THQ,0.1,0.08,0.0,0.03,0.21,61.0,50.0,2XL Games,E
Baja: Edge of Control,X360,1970,Racing,THQ,0.12,0.06,0.0,0.02,0.2,65.0,71.0,2XL Games,E
Bakugan: Battle Brawlers,DS,1970,Action,Activision,1.26,0.02,0.0,0.1,1.38,60.0,67.0,Now Production,E
Bakugan: Battle Brawlers,Wii,1970,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,72.0,Now Production,E
Bakugan: Battle Brawlers,X360,1970,Action,Activision,0.2,0.02,0.0,0.02,0.24,60.0,52.0,Now Production,E
Bakugan: Battle Brawlers,PS3,1970,Action,Activision,0.19,0.03,0.0,0.02,0.23,63.0,82.0,Now Production,E
Baldur's Gate: Dark Alliance,PS2,1970,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24,87.0,83.0,Snowblind Studios,T
Baldur's Gate: Dark Alliance,XB,1970,Role-Playing,Virgin Interactive,0.15,0.04,0.0,0.01,0.2,83.0,83.0,Snowblind Studios,T
Baldur's Gate: Dark Alliance,GC,1970,Role-Playing,Virgin Interactive,0.11,0.03,0.0,0.0,0.14,79.0,77.0,High Voltage Software,T
Baldur's Gate: Dark Alliance,GBA,1970,Role-Playing,"Destination Software, Inc",0.02,0.01,0.0,0.0,0.03,76.0,65.0,Magic Pockets,T
Baldur's Gate: Dark Alliance II,PS2,1970,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,78.0,87.0,Black Isle Studios,T
Baldur's Gate: Dark Alliance II,XB,1970,Role-Playing,Acclaim Entertainment,0.19,0.06,0.0,0.01,0.26,77.0,79.0,Black Isle Studios,T
Ball Breakers,PS,1970,Action,Take-Two Interactive,0.1,0.07,0.0,0.01,0.18,68.0,53.0,Lost Toys,E
Balls of Fury,Wii,1970,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02,19.0,28.0,Black Lantern Studios,E10+
Band Hero,Wii,1970,Misc,Activision,0.59,0.29,0.0,0.09,0.97,79.0,66.0,Vicarious Visions,E10+
Band Hero,X360,1970,Misc,Activision,0.51,0.21,0.0,0.07,0.79,76.0,50.0,Neversoft Entertainment,E10+
Band Hero,PS3,1970,Misc,Activision,0.41,0.23,0.0,0.11,0.74,76.0,57.0,Neversoft Entertainment,E10+
Band Hero,DS,1970,Misc,Activision,0.2,0.19,0.0,0.04,0.43,65.0,70.0,Vicarious Visions,E10+
Bangai-O Spirits,DS,1970,Shooter,D3Publisher,0.07,0.0,0.0,0.01,0.08,83.0,81.0,Treasure,E10+
Banjo-Kazooie,X360,1970,Platform,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01,77.0,82.0,4J Studios,E
Banjo-Kazooie: Grunty's Revenge,GBA,1970,Platform,THQ,0.24,0.09,0.0,0.01,0.33,72.0,81.0,Rare Ltd.,E
Banjo-Pilot,GBA,1970,Racing,THQ,0.07,0.03,0.0,0.0,0.1,68.0,59.0,Rare Ltd.,E
Barbie Groovy Games,GBA,1970,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56,47.0,70.0,Digital Illusions,E
Barnyard,PS2,1970,Action,THQ,0.05,0.04,0.0,0.01,0.09,62.0,87.0,Blue Tongue Entertainment,E10+
Barnyard,Wii,1970,Action,THQ,0.04,0.0,0.0,0.0,0.04,65.0,57.0,Blue Tongue Entertainment,E10+
Baroque,PS2,1970,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,60.0,88.0,Sting,T
Baroque,Wii,1970,Role-Playing,Rising Star Games,0.07,0.0,0.0,0.01,0.07,50.0,81.0,Sting,T
Baseball Advance,GBA,1970,Sports,Sega,0.1,0.04,0.0,0.0,0.13,80.0,78.0,Smilebit,E
Bass Pro Shops: The Strike,X360,1970,Sports,XS Games,0.2,0.0,0.0,0.02,0.21,63.0,58.0,Piranha Games,E
Bass Strike,PS2,1970,Sports,THQ,0.14,0.11,0.0,0.04,0.28,57.0,58.0,THQ,E
Baten Kaitos Origins,GC,1970,Role-Playing,Unknown,0.06,0.02,0.02,0.0,0.1,75.0,89.0,"Monolith Soft, Namco Bandai Games",T
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,1970,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27,80.0,90.0,Monolith Soft,T
Batman Begins,PS2,1970,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,64.0,73.0,Eurocom Entertainment Software,T
Batman Begins,XB,1970,Action,Electronic Arts,0.16,0.04,0.0,0.01,0.21,65.0,71.0,Eurocom Entertainment Software,T
Batman Begins,GBA,1970,Action,Electronic Arts,0.12,0.05,0.0,0.0,0.17,61.0,69.0,Vicarious Visions,E10+
Batman Begins,GC,1970,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.15,66.0,72.0,Eurocom Entertainment Software,T
Batman: Arkham Asylum,PS3,1970,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.0,89.0,Rocksteady Studios,T
Batman: Arkham Asylum,X360,1970,Action,Eidos Interactive,2.2,0.95,0.02,0.31,3.48,92.0,87.0,Rocksteady Studios,T
Batman: Arkham Asylum,PC,1970,Action,Eidos Interactive,0.0,0.28,0.0,0.05,0.32,91.0,87.0,Rocksteady Studios,T
Batman: Arkham City,PS3,1970,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,86.0,Rocksteady Studios,T
Batman: Arkham City,X360,1970,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,Rocksteady Studios,T
Batman: Arkham City,PC,1970,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53,91.0,86.0,Rocksteady Studios,T
Batman: Arkham Knight,PS4,1970,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,76.0,Rocksteady Studios,M
Batman: Arkham Knight,XOne,1970,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,66.0,Rocksteady Studios,M
Batman: Arkham Knight,PC,1970,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,70.0,25.0,"Rocksteady Studios, Iron Galaxy Studios",M
Batman: Arkham Origins,PS3,1970,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76.0,77.0,WB Games Montreal,T
Batman: Arkham Origins,X360,1970,Action,Warner Bros. Interactive Entertainment,1.15,0.56,0.0,0.17,1.88,74.0,75.0,WB Games Montreal,T
Batman: Arkham Origins,PC,1970,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0.0,0.02,0.31,74.0,75.0,Iron Galaxy Studios,T
Batman: Arkham Origins,WiiU,1970,Action,Warner Bros. Interactive Entertainment,0.19,0.09,0.0,0.03,0.31,68.0,74.0,Human Head Studios,T
Batman: Arkham Origins Blackgate,PSV,1970,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0.0,0.1,0.42,61.0,68.0,Armature Studio,T
Batman: Arkham Origins Blackgate,3DS,1970,Action,Warner Bros. Interactive Entertainment,0.16,0.09,0.0,0.02,0.27,68.0,68.0,Armature Studio,T
Batman: Arkham VR,PS4,1970,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,75.0,73.0,Rocksteady Studios,M
Batman: Dark Tomorrow,XB,1970,Action,Kemco,0.08,0.02,0.0,0.0,0.11,25.0,36.0,HotGen,T
Batman: Dark Tomorrow,GC,1970,Action,Kemco,0.06,0.02,0.0,0.0,0.08,29.0,32.0,Kemco,T
Batman: Return to Arkham,PS4,1970,Action,Warner Bros. Interactive Entertainment,0.07,0.16,0.0,0.04,0.26,73.0,85.0,"Rocksteady Studios, Virtuos",T
Batman: Return to Arkham,XOne,1970,Action,Warner Bros. Interactive Entertainment,0.05,0.05,0.0,0.01,0.11,77.0,82.0,"Rocksteady Studios, Virtuos",T
Batman: Rise of Sin Tzu,PS2,1970,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,83.0,Ubisoft Montreal,T
Batman: Rise of Sin Tzu,XB,1970,Action,Ubisoft,0.08,0.02,0.0,0.0,0.11,67.0,77.0,Ubisoft Montreal,T
Batman: Rise of Sin Tzu,GBA,1970,Action,Ubisoft,0.05,0.02,0.0,0.0,0.07,63.0,68.0,Ubisoft,E
Batman: The Brave and the Bold the Videogame,DS,1970,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0.0,0.02,0.29,74.0,80.0,WayForward,E10+
Batman: Vengeance,PS2,1970,Adventure,Ubisoft,0.27,0.21,0.0,0.07,0.55,68.0,67.0,Ubisoft,T
Batman: Vengeance,GC,1970,Adventure,Ubisoft,0.2,0.05,0.0,0.01,0.26,70.0,58.0,Ubisoft Montreal,T
Battalion Wars,GC,1970,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,76.0,88.0,Kuju Entertainment,T
Battalion Wars 2,Wii,1970,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,75.0,76.0,Kuju Entertainment,T
Battle Arena Toshinden,PS,1970,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,69.0,63.0,Tamsoft,T
